,RANK,REG,CODE,Airport,Airport location,Passengers 2011,Passengers 2010,% Change,carriers,city,country,direct_flights,elev,email,icao,lat,lon,name,phone,runway_length,state,type,tz,url,woeid
0,1,NAM,ATL,"ATLANTA GA, US (ATL)","ATLANTA GA, US (ATL) Airport",92365860,89292748,3.3,60,Atlanta,United States,253,1026,,KATL,33.6558,-84.4333,Hartsfield-Jackson Atlanta International Airport,(654) 57 8833,11889,Georgia,Airports,America/New_York,http://www.atlanta-airport.com/,12522118
1,2,ASP,PEK,"BEIJING, CN (PEK)","BEIJING, CN (PEK) Airport",77403668,73913402,4.5,84,Shunyi,China,165,115,,ZBAA,40.0724,116.583,Beijing Capital Airport,,12467,Beijing,Airports,Asia/Shanghai,http://www.bcia.com.cn,12511989
2,3,EUR,LHR,"LONDON, GB (LHR)","LONDON, GB (LHR) Airport",69433565,65884143,5.1,105,Hounslow,United Kingdom,227,80,,EGLL,51.4703,-0.45342,London Heathrow Airport,+44 (0)8700 000698,12802,England,Airports,Europe/London,http://www.heathrowairport.com,23382429
3,4,NAM,ORD,"CHICAGO IL, US (ORD)","CHICAGO IL, US (ORD) Airport",66561023,66904971,-0.5,85,Chicago,United States,222,668,,KORD,41.9796,-87.8825,Chicago O'Hare International Airport,,13000,Illinois,Airports,America/Chicago,http://www.flychicago.com/ohare/home.asp,12521200
4,5,ASP,HND,"TOKYO, JP (HND)","TOKYO, JP (HND) Airport",62263025,64117894,-3.0,19,Tokyo,Japan,55,,,KHND,35.5533,139.771,Tokyo International Airport,,,Tokyo Prefecture,Airports,Asia/Tokyo,http://www.tokyo-airport-bldg.co.jp/,23388311
5,6,NAM,LAX,"LOS ANGELES CA, US (LAX)","LOS ANGELES CA, US (LAX) Airport",61848449,58995672,4.6,99,Los Angeles,United States,200,126,,KLAX,33.9456,-118.391,Los Angeles International Airport,,12091,California,Airports,America/Los_Angeles,,12520706
6,7,EUR,CDG,"PARIS, FR (CDG)","PARIS, FR (CDG) Airport",60970551,58166563,4.6,131,Le Mesnil-Amelot,France,310,387,,LFPG,49.0175,2.5564,Charles de Gaulle International Airport,,11811,Ile-de-France,Airports,Europe/Paris,,22140453
7,8,NAM,DFW,"DALLAS/FORT WORTH TX, US (DFW)","DALLAS/FORT WORTH TX, US (DFW) Airport",57806152,56905066,1.6,62,Dallas,United States,179,603,,KDFW,32.9222,-97.0409,Fort Worth International Airport,,11388,Texas,Airports,America/Chicago,,12519786
8,9,EUR,FRA,"FRANKFURT, DE (FRA)","FRANKFURT, DE (FRA) Airport",56436255,53009221,6.1,131,Frankfurt,Germany,337,364,,EDDF,50.0483,8.57041,Frankfurt International Airport,+49 69 690 0,13123,Hesse,Airports,Europe/Berlin,http://www.airportcity-frankfurt.de,22981759
9,10,ASP,HKG,"HONG KONG, HK (HKG)","HONG KONG, HK (HKG) Airport",53314213,50359536,5.5,87,Hong Kong,Hong Kong,131,19,,VHHH,22.3124,113.929,Hong Kong International Airport,+852 2188 7111,12467,Hong Kong Island,Airports,Asia/Hong_Kong,http://www.hongkongairport.com/,24875607
10,11,NAM,DEN,"DENVER CO, US (DEN)","DENVER CO, US (DEN) Airport",52699298,52209203,0.9,57,Denver,United States,162,5333,,KDEN,39.8396,-104.672,Denver International Airport,,12000,Colorado,Airports,America/Denver,,12523052
11,12,MEA,DXB,"DUBAI, AE (DXB)","DUBAI, AE (DXB) Airport",50977960,47180628,7.4,126,Dubai,United Arab Emirates,170,34,,OMDB,25.2509,55.3629,Dubai International Airport,+971 4 216 2525,13123,Dubai,Airports,Asia/Dubai,http://www.dubaiairport.com,23388362
12,13,ASP,CGK,"JAKARTA, ID (CGK)","JAKARTA, ID (CGK) Airport",50446618,43981022,14.7,45,Tangerang,Indonesia,51,34,,WIII,-6.11964,106.656,Jakarta International Airport,+62 (0)21 550 5179,12008,Banten,Airports,Asia/Jakarta,http://www.angkasapura2.co.id,23388291
13,14,EUR,AMS,"AMSTERDAM, NL (AMS)","AMSTERDAM, NL (AMS) Airport",49754910,45211749,9.1,118,Schiphol Zuid,Netherlands,284,-11,,EHAM,52.3122,4.77511,Schiphol Airport,+31-207940800,12467,North Holland,Airports,Europe/Amsterdam,http://www.schiphol.com/,22386730
14,15,EUR,MAD,"MADRID, ES (MAD)","MADRID, ES (MAD) Airport",49644302,49842726,-0.4,93,Madrid,Spain,186,1998,,LEMD,40.4684,-3.56769,Barajas Airport,00 34 902 404 704,13451,Madrid,Airports,Europe/Madrid,,12517539
15,16,ASP,BKK,"BANGKOK, TH (BKK)","BANGKOK, TH (BKK) Airport",47910744,42784967,10.7,113,Lak Si,Thailand,132,12,,VTBS,13.9144,100.608,Bangkok International Airport,,12139,Bangkok,Airports,Asia/Bangkok,http://www.airportthai.co.th/airportnew/bia/html/,12517747
16,17,NAM,JFK,"NEW YORK NY, US (JFK)","NEW YORK NY, US (JFK) Airport",47854283,46493667,2.8,100,Jamaica,United States,233,13,,KJFK,40.6437,-73.79,John F Kennedy International Airport,,14572,New York,Airports,America/New_York,,12520380
17,18,ASP,SIN,"SINGAPORE, SG (SIN)","SINGAPORE, SG (SIN) Airport",46543845,42038777,9.7,80,Singapore,Singapore,108,65,,WSSS,1.3578,103.991,Singapore Changi Airport,(65) 6542 1122,13200,South East,Airports,Asia/Singapore,http://www.changiairport.com.sg/,12517525
18,19,ASP,CAN,"GUANGZHOU, CN (CAN)","GUANGZHOU, CN (CAN) Airport",45400156,40975253,9.7,49,Guangzhou,China,111,45,,ZGGG,23.3925,113.299,Baiyun Airport,0086-020-86120000,11000,Guangdong,Airports,Asia/Chongqing,,12511984
19,20,NAM,LAS,"LAS VEGAS NV, US (LAS)","LAS VEGAS NV, US (LAS) Airport",41479572,39757359,4.2,64,Las Vegas,United States,130,2174,,KLAS,36.0806,-115.143,Mccarran International Airport,(702) 261-5211,12636,Nevada,Airports,America/Los_Angeles,http://www.mccarran.com,12520849
20,21,ASP,PVG,"SHANGHAI, CN (PVG)","SHANGHAI, CN (PVG) Airport",41450211,40387640,2.6,76,Huinan,China,131,,,KPVG,31.1156,121.803,Pudong International Airport,,,Shanghai,Airports,Asia/Shanghai,,23428057
21,22,NAM,SFO,"SAN FRANCISCO CA, US (SFO)","SAN FRANCISCO CA, US (SFO) Airport",40907389,39254110,4.0,76,San Francisco,United States,147,12,,KSFO,37.6148,-122.392,San Francisco International Airport,(650) 821-8211,11870,California,Airports,America/Los_Angeles,http://www.flysfo.com,12521721
22,23,NAM,PHX,"PHOENIX AZ, US (PHX)","PHOENIX AZ, US (PHX) Airport",40565677,38552409,5.0,51,Phoenix,United States,108,1132,,KPHX,33.4376,-112.03,Sky Harbor International Airport,,11001,Arizona,Airports,America/Phoenix,http://phoenix.gov/Ahttp://phoenix.gov/aviation,12521872
