,index,name,Coordinates,lat,lon
0,0,Hartsfield-Jackson Atlanta International Airport,"33.6407282, -84.4277001",33.6407282, -84.4277001
1,1,DeKalb-Peachtree Airport,"33.874958600000014, -84.30281629999999",33.874958600000014, -84.30281629999999
2,2,Fulton County Airport-Brown Field,"33.7762621, -84.52209870000002",33.7762621, -84.52209870000002
3,3,Airport Retail Management,"33.6412569, -84.44453949999999",33.6412569, -84.44453949999999
4,4,Millennium Atlanta Airport Llc,"33.6261608, -84.4626098",33.6261608, -84.4626098
5,5,Jims Private Airport,"33.5980862, -84.1434124",33.5980862, -84.1434124
6,6,Cobb County International Airport,"34.015475, -84.6012001",34.015475, -84.6012001
7,7,Atlanta Regional Airport - Falcon Field,"33.359131, -84.571935",33.359131, -84.571935
8,8,Holders Field,"33.3615041, -84.14464",33.3615041, -84.14464
9,9,Lola Landing,"33.7301094, -83.97463300000001",33.7301094, -83.97463300000001
10,10,Abernathy Field,"33.2690089, -84.49714809999999",33.2690089, -84.49714809999999
11,11,Police Services Helicopter,"33.7767777, -84.24155999999999",33.7767777, -84.24155999999999
12,12,Atlanta Airport South,"33.662509, -84.430183",33.662509, -84.430183
13,13,Atlanta Dynamic Limousines,"33.7590292, -84.387856",33.7590292, -84.387856
14,14,Morgan Falls Heliport,"33.9649854, -84.3623989",33.9649854, -84.3623989
15,15,Matthews,"33.980934, -84.563266",33.980934, -84.563266
16,16,Atlantic Aviation PDK,"33.87589579999999, -84.3041944",33.87589579999999, -84.3041944
17,17,Jimmy Carter Boulevard Precinct Heliport,"33.91288, -84.2094444",33.91288, -84.2094444
18,18,Hartsfield Jackson Atlanta International Airport- Office Of Airport Operations,"33.6563413, -84.41352719999999",33.6563413, -84.41352719999999
19,19,Henry County Airport,"33.389189, -84.328699",33.389189, -84.328699
20,20,Beijing Nanyuan Airport,"39.7825, 116.3877778",39.7825, 116.3877778
21,21,Beijing Miyun Mujiayu Airport,"40.40142499999999, 116.890503",40.40142499999999, 116.890503
22,22,3å�·èˆªç«™æ¥¼ç«™,"40.054945, 116.615628",40.054945, 116.615628
23,23,Beijing Capital International Airport,"40.0798573, 116.6031121",40.0798573, 116.6031121
24,24,Dingling Airport,"40.289518, 116.239578",40.289518, 116.239578
25,25,"HNA Airport Group Co.,Ltd.","39.95844210000001, 116.4568252",39.95844210000001, 116.4568252
26,26,Heathrow Airport,"51.4700223, -0.45429549999999996",51.4700223, -0.45429549999999996
27,27,London City Airport,"51.5048437, 0.049518000000000006",51.5048437, 0.049518000000000006
28,28,London Biggin Hill Airport,"51.3319582, 0.029057399999999",51.3319582, 0.029057399999999
29,29,Gatwick Airport,"51.1536621, -0.1820629",51.1536621, -0.1820629
30,30,London Luton Airport,"51.87626460000001, -0.37174710000000005",51.87626460000001, -0.37174710000000005
31,31,LivingWell Health Club - Heathrow,"51.458645, -0.44154899999999997",51.458645, -0.44154899999999997
32,32,Farnborough Airport,"51.283078, -0.777388299999999",51.283078, -0.777388299999999
33,33,West End Lane mini cabs ltd,"51.5473443, -0.19097129999999998",51.5473443, -0.19097129999999998
34,34,Blackbushe Airport,"51.322724, -0.8393320000000001",51.322724, -0.8393320000000001
35,35,RAF Northolt,"51.5540305, -0.4171726",51.5540305, -0.4171726
36,36,Dunsfold Aerodrome,"51.1200924, -0.5344900999999991",51.1200924, -0.5344900999999991
37,37,BIH - Onshore,"51.21651480000001, -0.1439705",51.21651480000001, -0.1439705
38,38,London Heliport,"51.469454, -0.17856249999999999",51.469454, -0.17856249999999999
39,39,FiveTwos Luton Town & Airport Cars,"51.880456, -0.4185731",51.880456, -0.4185731
40,40,Sams Car's,"51.5586071, -0.0745197",51.5586071, -0.0745197
41,41,London Elstree Aerodrome,"51.6558333, -0.32583329999999905",51.6558333, -0.32583329999999905
42,42,The London Helicopter,"51.469688, -0.178785",51.469688, -0.178785
43,43,West London Aero Club at White Waltham Airfield,"51.50060999999999, -0.764629",51.50060999999999, -0.764629
44,44,Redhill Aerodrome,"51.2161202, -0.1428381",51.2161202, -0.1428381
45,45,MULTI HEATHROW CARS,"51.485167, -0.37349299999999996",51.485167, -0.37349299999999996
46,46,O'Hare International Airport,"41.97416249999999, -87.9073214",41.97416249999999, -87.9073214
